기간,자치구,자치.인원,자치.차량,자치.손수레,자치.중장비,업체.인원,업체.차량,업체.손수레,업체.중장비
2014,강남구,152,25,45,1,120,67,19,0
2014,강동구,159,20,2,1,136,66,12,1
2014,강북구,75,4,0,2,148,62,4,1
2014,강서구,164,31,0,1,65,41,0,0
2014,관악구,85,33,40,2,93,57,50,1
2014,광진구,89,39,77,0,126,80,17,0
2014,구로구,104,36,50,1,140,48,0,0
2014,금천구,114,43,157,2,91,52,38,3
2014,노원구,95,49,0,5,85,50,0,0
2014,도봉구,32,17,0,1,34,55,0,1
2014,동대문구,159,66,92,0,101,40,0,4
2014,동작구,16,16,0,4,150,58,113,3
2014,마포구,184,40,0,1,114,40,0,1
2014,서대문구,95,43,81,1,145,53,84,0
2014,서초구,70,26,0,1,117,59,13,0
2014,성동구,119,19,0,2,117,61,4,6
2014,성북구,30,36,0,2,92,51,15,3
2014,송파구,25,40,0,3,79,36,0,1
2014,양천구,146,62,36,3,127,68,7,9
2014,영등포구,71,17,30,3,57,50,39,5
2014,용산구,200,42,0,1,87,51,66,0
2014,은평구,240,92,21,5,175,92,0,5
2014,종로구,243,104,0,7,500,167,0,6
2014,중구,135,17,108,0,214,93,17,1
2014,중랑구,156,31,0,3,132,46,70,2
2015,강남구,152,25,45,1,120,67,19,0
2015,강동구,0,0,0,0,150,70,0,0
2015,강북구,79,30,0,0,148,62,0,0
2015,강서구,164,31,0,1,0,0,0,0
2015,관악구,87,46,40,2,0,0,0,0
2015,광진구,89,37,77,0,127,86,0,0
2015,구로구,104,32,0,4,146,55,0,0
2015,금천구,114,35,157,0,119,71,0,4
2015,노원구,96,43,0,5,89,63,0,0
2015,도봉구,106,41,0,3,78,52,0,1
2015,동대문구,159,52,90,0,39,39,0,0
2015,동작구,16,16,0,4,150,58,113,3
2015,마포구,186,40,0,1,0,0,0,0
2015,서대문구,95,40,59,1,0,0,0,0
2015,서초구,64,27,0,1,126,57,13,0
2015,성동구,113,19,0,2,117,60,4,0
2015,성북구,30,36,0,2,98,55,0,3
2015,송파구,25,40,0,3,69,35,2,1
2015,양천구,139,59,32,3,116,71,7,9
2015,영등포구,135,67,30,3,0,0,0,0
2015,용산구,204,42,0,0,87,51,2,0
2015,은평구,244,98,32,6,0,0,0,0
2015,종로구,48,7,2,5,518,129,37,6
2015,중구,114,30,93,1,208,80,0,1
2015,중랑구,0,0,0,0,132,40,68,0
2016,강남구,152,25,45,1,120,67,19,0
2016,강동구,0,0,0,0,150,72,0,0
2016,강북구,74,30,0,0,95,62,0,0
2016,강서구,92,92,0,1,0,0,0,0
2016,관악구,91,46,40,2,0,0,0,0
2016,광진구,100,40,77,0,145,92,0,0
2016,구로구,7,12,0,2,147,56,0,1
2016,금천구,123,35,127,0,123,79,2,8
2016,노원구,96,30,0,6,0,0,0,0
2016,도봉구,27,41,0,3,78,52,0,1
2016,동대문구,159,41,90,0,41,41,0,0
2016,동작구,37,34,0,3,163,82,53,4
2016,마포구,190,40,0,1,0,0,0,0
2016,서대문구,136,73,103,1,0,0,0,0
2016,서초구,69,20,0,1,113,52,8,0
2016,성동구,132,20,0,2,115,60,4,0
2016,성북구,29,34,0,2,104,58,0,3
2016,송파구,28,36,0,3,74,33,6,1
2016,양천구,139,70,32,3,116,64,7,9
2016,영등포구,137,67,30,3,0,0,0,0
2016,용산구,204,44,0,0,82,48,60,0
2016,은평구,201,123,10,7,0,0,0,0
2016,종로구,45,7,2,5,461,156,20,7
2016,중구,101,36,96,1,213,104,6,1
2016,중랑구,97,14,0,3,0,0,0,0